file,decision,priority,risk_score,loc,has_nearby_test,reasons
src/services/cache.service.ts,V2_NOW,p1,9,568,false,file_500_plus|no_nearby_tests_large|elevated_any_density|high_console_density|many_catch_paths
src/services/core/banks/dataBankLoader.service.ts,V2_TARGETED,p2,6,1604,true,very_large_file|any_density|planned_module_migration_scope
src/services/core/banks/documentIntelligenceBanks.service.ts,V2_TARGETED,p2,6,900,false,large_file_800_plus|no_nearby_tests_large|planned_module_migration_scope
src/services/retrieval/pinecone.service.ts,V2_TARGETED,p2,6,733,false,file_500_plus|no_nearby_tests_large|elevated_any_density
src/services/retrieval/document_intelligence/ruleInterpreter.ts,V2_TARGETED,p2,5,1250,true,large_file_1000_plus|elevated_any_density
src/services/chat/turnRouter.service.ts,V2_TARGETED,p2,5,996,true,large_file_800_plus|elevated_any_density|planned_module_migration_scope
src/services/connectors/tokenVault.service.ts,V2_TARGETED,p2,5,552,false,file_500_plus|no_nearby_tests_large|many_catch_paths
src/services/core/retrieval/retrievalEngine.service.ts,V2_TARGETED,p2,4,3641,true,very_large_file
src/services/core/enforcement/responseContractEnforcer.v2.service.ts,V2_TARGETED,p2,4,2770,true,very_large_file
src/services/core/enforcement/qualityGateRunner.service.ts,V2_TARGETED,p2,4,2122,true,very_large_file
src/services/chat/handlers/connectorTurn.handler.ts,V2_TARGETED,p2,4,1344,true,large_file_1000_plus|planned_module_migration_scope
src/services/core/banks/runtimeWiringIntegrity.service.ts,V2_TARGETED,p2,4,1060,true,large_file_1000_plus|planned_module_migration_scope
src/services/connectors/gmail/gmailOAuth.service.ts,V2_TARGETED,p2,4,710,false,file_500_plus|no_nearby_tests_large
src/services/config/intentConfig.service.ts,V2_TARGETED,p2,4,686,false,file_500_plus|no_nearby_tests_large
src/services/core/retrieval/sourceButtons.service.ts,V2_TARGETED,p2,4,624,false,file_500_plus|no_nearby_tests_large
src/services/chat/turnContext.builder.ts,V2_TARGETED,p2,4,94,false,no_nearby_tests|high_any_density
src/services/security/crypto.types.ts,V2_TARGETED,p2,4,19,false,no_nearby_tests|high_any_density
src/services/core/handlers/connectorHandler.service.ts,KEEP,none,3,1073,true,large_file_1000_plus
src/services/core/retrieval/prismaRetrievalAdapters.service.ts,KEEP,none,3,1059,true,large_file_1000_plus
src/services/core/scope/scopeGate.service.ts,KEEP,none,3,1007,true,large_file_1000_plus
src/services/chat/turnRoutePolicy.service.ts,KEEP,none,3,582,true,file_500_plus|any_density|planned_module_migration_scope
src/services/core/inputs/languageDetector.service.ts,KEEP,none,3,549,true,file_500_plus|elevated_any_density
src/services/retrieval/embedding.service.ts,KEEP,none,3,457,false,no_nearby_tests_medium|any_density
src/services/chat/chatLanguage.service.ts,KEEP,none,3,88,false,no_nearby_tests|elevated_any_density
src/services/connectors/connectorIdentityMap.service.ts,KEEP,none,3,68,false,no_nearby_tests|elevated_any_density
src/services/chat/responseEnvelope.ts,KEEP,none,3,41,false,no_nearby_tests|elevated_any_density
src/services/chat/chatMicrocopy.service.ts,KEEP,none,2,780,true,file_500_plus|planned_module_migration_scope
src/services/connectors/slack/slackOAuth.service.ts,KEEP,none,2,484,false,no_nearby_tests_medium
src/services/connectors/outlook/graphClient.service.ts,KEEP,none,2,475,false,no_nearby_tests_medium
src/services/connectors/gmail/gmailClient.service.ts,KEEP,none,2,442,false,no_nearby_tests_medium
src/services/connectors/outlook/outlookOAuth.service.ts,KEEP,none,2,433,false,no_nearby_tests_medium
src/services/core/enforcement/tokenBudget.service.ts,KEEP,none,2,416,false,no_nearby_tests_medium
src/services/core/banks/bankLoader.service.ts,KEEP,none,2,407,false,no_nearby_tests_medium
src/services/core/compose/extractionCompiler.service.ts,KEEP,none,2,395,false,no_nearby_tests_medium
src/services/retrieval/gcsStorage.service.ts,KEEP,none,2,320,false,no_nearby_tests_medium
src/services/llm/types/llmStreaming.types.ts,KEEP,none,2,318,false,no_nearby_tests_medium
src/services/core/policy/policyRuntimeEngine.service.ts,KEEP,none,2,237,true,elevated_any_density
src/services/admin/_shared/prismaAdapter.ts,KEEP,none,2,187,false,no_nearby_tests|elevated_console_density
src/services/connectors/oauthStateNonceStore.service.ts,KEEP,none,2,105,true,elevated_any_density
src/services/security/tenantKey.service.ts,KEEP,none,2,99,true,elevated_any_density
src/services/telemetry/traceWriter.service.ts,KEEP,none,1,665,true,file_500_plus
src/services/core/retrieval/evidenceGate.service.ts,KEEP,none,1,557,true,file_500_plus
src/services/core/policy/fallbackDecisionPolicy.service.ts,KEEP,none,1,508,true,file_500_plus
src/services/core/banks/bankSelectionPlanner.service.ts,KEEP,none,1,282,false,no_nearby_tests
src/services/connectors/slack/slackClient.service.ts,KEEP,none,1,254,false,no_nearby_tests
src/services/core/banks/bankLoadPlanner.service.ts,KEEP,none,1,195,false,no_nearby_tests
src/services/connectors/connectorsRegistry.ts,KEEP,none,1,189,false,no_nearby_tests
src/services/memory/memoryPolicyEngine.service.ts,KEEP,none,1,189,false,no_nearby_tests
src/services/core/retrieval/docScopeLock.ts,KEEP,none,1,183,false,no_nearby_tests
src/services/llm/types/llmErrors.types.ts,KEEP,none,1,181,false,no_nearby_tests
src/services/prismaChat.service.ts,KEEP,none,1,165,false,no_nearby_tests
src/services/connectors/emailSendConfirmation.service.ts,KEEP,none,1,154,false,no_nearby_tests
src/services/core/retrieval/slotResolver.service.ts,KEEP,none,1,133,false,no_nearby_tests
src/services/memory/memoryRedaction.service.ts,KEEP,none,1,87,false,no_nearby_tests
src/services/core/banks/domainPackLoader.service.ts,KEEP,none,1,81,false,no_nearby_tests
src/services/retrieval/chunkCrypto.service.ts,KEEP,none,1,73,false,no_nearby_tests
src/services/documents/documentKey.service.ts,KEEP,none,1,57,false,no_nearby_tests
src/services/core/policy/policyBankResolver.service.ts,KEEP,none,1,37,false,no_nearby_tests
src/services/chat/handlers/generalTurn.handler.ts,KEEP,none,1,26,false,no_nearby_tests
src/services/chat/handlers/knowledgeTurn.handler.ts,KEEP,none,1,26,false,no_nearby_tests
src/services/chat/handlers/types.ts,KEEP,none,1,15,false,no_nearby_tests
src/services/chat/chat.types.ts,KEEP,none,1,2,false,no_nearby_tests
src/services/chatRuntime.contracts.ts,KEEP,none,1,2,false,no_nearby_tests
src/services/core/scope/documentReferenceResolver.service.ts,KEEP,none,0,388,true,
src/services/core/policy/clarificationPolicy.service.ts,KEEP,none,0,317,true,
src/services/memory/conversationMemory.service.ts,KEEP,none,0,273,true,
src/services/core/retrieval/retrievalPlanParser.service.ts,KEEP,none,0,234,true,
src/services/documents/documentCrypto.service.ts,KEEP,none,0,195,true,
src/services/chat/encryptedChatRepo.service.ts,KEEP,none,0,186,true,
src/services/security/keyManager.service.ts,KEEP,none,0,175,true,
src/services/core/policy/refusalPolicy.service.ts,KEEP,none,0,151,true,
src/services/chat/chatKernel.service.ts,KEEP,none,0,130,true,
src/services/core/policy/loggingPolicy.service.ts,KEEP,none,0,119,true,
src/services/chat/conversationKey.service.ts,KEEP,none,0,92,true,
src/services/security/encryption.service.ts,KEEP,none,0,85,true,
src/services/chat/chatCrypto.service.ts,KEEP,none,0,72,true,
src/services/core/policy/compliancePolicy.service.ts,KEEP,none,0,62,true,
src/services/chat/encryptedChatContext.service.ts,KEEP,none,0,27,true,
src/services/security/envelope.service.ts,KEEP,none,0,23,true,
src/services/security/hkdf.service.ts,KEEP,none,0,19,true,
src/services/core/enforcement/responseContractEnforcer.service.ts,KEEP,none,0,2,true,
